日期,天气状况,温度,风向风力
2022年10月31日,阴 /  晴,16℃ / 8℃,西南风 4-5级 / 西南风 4-5级
2022年11月01日,晴 /  晴,12℃ / 6℃,北风 4-5级 / 北风 4-5级
2022年11月02日,小雨 /  小到中雨,13℃ / 2℃,南风 4-5级 / 南风 4-5级
2022年11月03日,多云 /  晴,7℃ / 3℃,北风 4-5级 / 北风 4-5级
2022年11月04日,晴 /  晴,11℃ / 6℃,西北风 4-5级 / 西北风 4-5级
2022年11月05日,晴 /  晴,14℃ / 8℃,西风 4-5级 / 西风 4-5级
2022年11月06日,阴 /  小雨,16℃ / 10℃,西南风 4-5级 / 西南风 4-5级
2022年11月07日,多云 /  晴,16℃ / 6℃,北风 3-4级 / 北风 3-4级
2022年11月08日,晴 /  多云,15℃ / 9℃,西南风 3-4级 / 西南风 3-4级
2022年11月09日,多云 /  阵雨,16℃ / 12℃,西南风 3-4级 / 南风 3-4级
2022年11月10日,阵雨 /  多云,16℃ / 14℃,东南风 3-4级 / 南风 3-4级
2022年11月11日,阴 /  小雨,16℃ / 14℃,南风 3-4级 / 南风 4-5级
2022年11月12日,中雨 /  多云,16℃ / 2℃,北风 6-7级 / 北风 5-6级
2022年11月13日,晴 /  多云,6℃ / 2℃,北风 5-6级 / 西北风 4-5级
2022年11月14日,晴 /  晴,12℃ / 7℃,西风 4-5级 / 西风 4-5级
2022年11月15日,晴 /  晴,13℃ / 5℃,西北风 3-4级 / 西风 3-4级
2022年11月16日,晴 /  晴,14℃ / 9℃,西南风 3-4级 / 西南风 4-5级
2022年11月17日,晴 /  多云,16℃ / 8℃,西南风 3-4级 / 西南风 3-4级
2022年11月18日,多云 /  多云,13℃ / 9℃,东风 3-4级 / 南风 3-4级
2022年11月19日,多云 /  多云,15℃ / 8℃,西南风 3-4级 / 东北风 3-4级
2022年11月20日,多云 /  多云,12℃ / 6℃,东北风 3-4级 / 东北风 4-5级
,,,
2022年11月21日,多云 /  晴,10℃ / 3℃,东北风 4-5级 / 东北风 4-5级
2022年11月22日,多云 /  多云,8℃ / 4℃,北风 3-4级 / 西风 3-4级
2022年11月23日,晴 /  多云,13℃ / 7℃,西风 3-4级 / 南风 3-4级
2022年11月24日,多云 /  多云,15℃ / 11℃,西南风 4-5级 / 西南风 4-5级
2022年11月25日,阴 /  晴,16℃ / 2℃,西南风 4-5级 / 西北风 4-5级
2022年11月26日,晴 /  多云,10℃ / 1℃,北风 4-5级 / 南风 4-5级
2022年11月27日,小到中雨 /  中到大雨,13℃ / 9℃,南风 4-5级 / 南风 4-5级
2022年11月28日,小雨 /  多云,12℃ / -3℃,北风 4-5级 / 北风 5-6级
2022年11月29日,阴 /  阵雪,-2℃ / -7℃,北风 5-6级 / 北风 5-6级
2022年11月30日,阵雪 /  多云,-1℃ / -9℃,西北风 4-5级 / 西北风 4-5级
2022年12月01日,多云 /  多云,0℃ / -3℃,西北风 4-5级 / 西风 4-5级
2022年12月02日,多云 /  多云,5℃ / -1℃,西南风 4-5级 / 北风 4-5级
2022年12月03日,多云 /  多云,0℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年12月04日,晴 /  晴,1℃ / -6℃,北风 3-4级 / 西北风 3-4级
2022年12月05日,晴 /  晴,4℃ / 0℃,西风 4-5级 / 西风 4-5级
2022年12月06日,晴 /  晴,5℃ / 2℃,西北风 4-5级 / 西北风 4-5级
2022年12月07日,晴 /  晴,6℃ / 2℃,西北风 4-5级 / 西风 3-4级
2022年12月08日,晴 /  晴,9℃ / 1℃,东风 3-4级 / 北风 3-4级
2022年12月09日,多云 /  阵雪,7℃ / 0℃,北风 3-4级 / 北风 4-5级
2022年12月10日,中到大雪 /  晴,2℃ / -3℃,北风 4-5级 / 北风 4-5级
2022年12月11日,多云 /  多云,4℃ / -3℃,北风 3-4级 / 西南风 4-5级
2022年12月12日,多云 /  晴,5℃ / -1℃,西北风 4-5级 / 西北风 4-5级
2022年12月13日,阵雪 /  多云,1℃ / -7℃,西北风 5-6级 / 西北风 5-6级
2022年12月14日,多云 /  阵雪,2℃ / -6℃,西北风 4-5级 / 西南风 4-5级
2022年12月15日,多云 /  晴,-2℃ / -8℃,北风 4-5级 / 北风 4-5级
2022年12月16日,多云 /  阵雪,-3℃ / -9℃,西北风 4-5级 / 西北风 4-5级
2022年12月17日,阵雪 /  阵雪,-7℃ / -10℃,西北风 4-5级 / 西北风 4-5级
2022年12月18日,多云 /  多云,-2℃ / -10℃,西北风 4-5级 / 西北风 3-4级
2022年12月19日,晴 /  晴,3℃ / -4℃,北风 3-4级 / 南风 3-4级
2022年12月20日,多云 /  多云,7℃ / -1℃,西南风 4-5级 / 西北风 4-5级
,,,
2022年12月21日,晴 /  多云,-1℃ / -8℃,北风 4-5级 / 北风 4-5级
2022年12月22日,阵雪 /  多云,-7℃ / -10℃,北风 5-6级 / 北风 5-6级
2022年12月23日,阴 /  多云,-5℃ / -10℃,北风 5-6级 / 北风 5-6级
2022年12月24日,多云 /  晴,-2℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年12月25日,晴 /  晴,-2℃ / -5℃,北风 4-5级 / 北风 3-4级
2022年12月26日,晴 /  晴,0℃ / -5℃,北风 3-4级 / 北风 3-4级
2022年12月27日,多云 /  多云,3℃ / -6℃,西北风 4-5级 / 西北风 4-5级
2022年12月28日,晴 /  晴,0℃ / -4℃,西北风 4-5级 / 西北风 3-4级
2022年12月29日,晴 /  晴,0℃ / -5℃,西北风 4-5级 / 西北风 3-4级
2022年12月30日,晴 /  晴,3℃ / -2℃,西南风 4-5级 / 西南风 4-5级
2022年12月31日,晴 /  晴,5℃ / -4℃,西风 3-4级 / 北风 3-4级
2023年01月01日,晴 /  晴,0℃ / -5℃,北风 4-5级 / 北风 3-4级
2023年01月02日,晴 /  晴,-1℃ / -5℃,北风 3-4级 / 西北风 3-4级
2023年01月03日,晴 /  晴,2℃ / -5℃,西北风 3-4级 / 东风 3-4级
2023年01月04日,晴 /  晴,2℃ / -3℃,东南风 3-4级 / 南风 3-4级
2023年01月05日,晴 /  多云,6℃ / 0℃,西南风 3-4级 / 西南风 3-4级
2023年01月06日,阴 /  晴,6℃ / -4℃,西北风 4-5级 / 西北风 4-5级
2023年01月07日,晴 /  多云,4℃ / -3℃,西南风 3-4级 / 南风 3-4级
2023年01月08日,晴 /  晴,8℃ / -2℃,南风 4-5级 / 北风 4-5级
2023年01月09日,晴 /  晴,2℃ / -3℃,北风 4-5级 / 北风 3-4级
2023年01月10日,晴 /  晴,6℃ / -1℃,西南风 3-4级 / 西南风 3-4级
2023年01月11日,多云 /  多云,7℃ / 3℃,南风 3-4级 / 东南风 3-4级
2023年01月12日,小雨 /  小到中雨,9℃ / 5℃,东南风 3-4级 / 东北风 3-4级
2023年01月13日,阴 /  多云,4℃ / -8℃,北风 5-6级 / 北风 5-6级
2023年01月14日,多云 /  晴,-7℃ / -11℃,北风 5-6级 / 北风 5-6级
2023年01月15日,晴 /  晴,-6℃ / -11℃,北风 4-5级 / 北风 4-5级
2023年01月16日,晴 /  多云,0℃ / -9℃,北风 3-4级 / 西风 4-5级
2023年01月17日,晴 /  晴,3℃ / -6℃,西风 4-5级 / 南风 3-4级
2023年01月18日,晴 /  晴,4℃ / -3℃,西南风 4-5级 / 西南风 4-5级
2023年01月19日,晴 /  晴,5℃ / -9℃,西风 4-5级 / 西北风 5-6级
2023年01月20日,晴 /  晴,-2℃ / -9℃,北风 4-5级 / 南风 3-4级
,,,
2023年01月21日,晴 /  多云,4℃ / -2℃,南风 4-5级 / 北风 3-4级
2023年01月22日,多云 /  晴,3℃ / -12℃,北风 4-5级 / 北风 4-5级
2023年01月23日,多云 /  阵雪,-12℃ / -15℃,北风 4-5级 / 北风 4-5级
2023年01月24日,阵雪 /  多云,-8℃ / -16℃,北风 4-5级 / 西北风 4-5级
2023年01月25日,晴 /  晴,-2℃ / -8℃,西南风 4-5级 / 西南风 4-5级
2023年01月26日,多云 /  晴,-1℃ / -9℃,北风 4-5级 / 北风 4-5级
2023年01月27日,晴 /  晴,-4℃ / -5℃,西北风 4-5级 / 西北风 4-5级
2023年01月28日,晴 /  晴,2℃ / -4℃,西北风 3-4级 / 西风 3-4级
2023年01月29日,晴 /  晴,3℃ / -2℃,西北风 4-5级 / 西南风 3-4级
2023年01月30日,晴 /  晴,7℃ / 1℃,南风 3-4级 / 南风 4-5级
2023年01月31日,晴 /  晴,6℃ / -2℃,西北风 3-4级 / 北风 5-6级
